table_name,ordinal_position,column_name,column_type,is_nullable,column_key,column_default,extra,column_comment
accesos,1,acc_id,int,NO,PRI,,auto_increment,
accesos,2,usu_id,int,NO,,,,
accesos,3,for_id,int,NO,,,,
accesos,4,acc_fech,datetime,YES,,,,
afip,1,id_tabla,int,NO,PRI,,,
afip,2,valor,int,NO,,,,
afip,3,nombre,varchar(50),NO,,,,
afip,4,estado,bit(1),NO,,,,
afip,5,dgr,"decimal(12,2)",NO,,,,
afip,6,iva,"decimal(12,2)",NO,,,,
afip,7,codigoafip,char(2),NO,,,,
alicuota,1,CODIGO,int,NO,PRI,,,
alicuota,2,DENOMINACION,varchar(255),YES,,,,
articulos,1,idArticulo,int unsigned,NO,PRI,,auto_increment,
articulos,2,Nombre,varchar(100),NO,,,,
articulos,3,NombreTicket,varchar(40),NO,,,,
articulos,4,Unidad,char(8),NO,MUL,,,
articulos,5,idGrupo,int unsigned,NO,MUL,0,,
articulos,6,Costo,"decimal(12,2)",NO,,0.00,,
articulos,7,Peso,"decimal(12,2)",NO,,0.00,,
articulos,8,ProvPpal,int unsigned,NO,MUL,1,,
articulos,9,Incre1,"decimal(12,2)",NO,,0.00,,
articulos,10,Precio1,"decimal(12,2)",NO,,0.00,,
articulos,11,Incre2,"decimal(12,2)",NO,,0.00,,
articulos,12,Precio2,"decimal(12,2)",NO,,0.00,,
articulos,13,Incre3,"decimal(12,2)",NO,,0.00,,
articulos,14,Precio3,"decimal(12,2)",NO,,0.00,,
articulos,15,Visible,bit(1),NO,,b'0',,
articulos,16,Descuenta,int unsigned,NO,,0,,
articulos,17,Formula,varchar(20),NO,,,,
articulos,18,DescStock,bit(1),NO,,b'0',,
articulos,19,Stock,"decimal(12,4)",NO,,0.0000,,
articulos,20,StockMinimo,"decimal(12,4)",NO,,0.0000,,
articulos,21,TipoIva,char(2),NO,MUL,,,
articulos,22,CodBarraArt,varchar(20),NO,,,,
articulos,23,CodBarraBulto,varchar(20),NO,,,,
articulos,24,ModificaPrecios,bit(1),NO,,b'0',,
articulos,25,Imagen,varchar(200),NO,,,,
articulos,26,UltAct,date,NO,,0000-00-00,,
articulos,27,PrecioPub,"decimal(12,4)",NO,,0.0000,,
articulos,28,Balanza,bit(1),NO,,b'0',,
articulos,29,PLU,int,NO,,0,,
articulos,30,iddivisa,int unsigned,NO,,,,
articulos,31,costodolar,"decimal(12,4)",NO,,0.0000,,
articulos,32,concepto,char(1),NO,,1,,
articulos,33,habilita_web,bit(1),NO,,b'0',,
articulos,34,BonifCantidad,"decimal(12,2)",NO,,0.00,,
articulos,35,CantMinBonif,"decimal(12,2)",NO,,0.00,,
articulos,36,Transferido,bit(1),NO,,b'1',,
