table_name,column_name,filled,min_value,max_value,error
accesos,acc_fech,0,,,
articulos,UltAct,9130,2018-11-13,2024-10-22,
cabfact,fechaem,62805,2010-04-30,2026-04-30,
cabfact,fechaven,62805,2010-05-05,2026-12-15,
cabfact,fechapag,62805,0000-00-00,2089-01-02,
cabfact,VencCESP,62805,0000-00-00,2026-04-30,
conexiones,fechaingreso,606,0000-00-00,2103-06-06,
consumo,fechatoma,61224,2008-10-31,2026-04-30,
ctacte,Fecha,24898,2020-11-06,2026-05-04,
ctacte,_fecha,24898,2020-11-06,2026-05-04,
factimp,fechaem,,,,"(1525, ""Incorrect DATE value: '0000-00-00'"")"
factimp,fechapag,,,,"(1525, ""Incorrect DATE value: '0000-00-00'"")"
facturas,fechaem,200077,2010-04-30,2026-04-30,
facturas,fechaven,200077,2010-05-05,2026-12-15,
facturas,fechapag,200077,0000-00-00,2089-01-02,
movcaja,Fecha,20223,2020-11-06,2026-05-04,
movcaja,vence,20223,2020-11-06,2026-05-04,
movcaja,_fecha,20223,2020-11-06,2026-05-04,
pcabecera,fecha,0,,,
pcabecera,_fecha,0,,,
tablas,F_Alta,14,0000-00-00,0000-00-00,
tablas,F_Baja,14,0000-00-00,0000-00-00,
tipotablas,F_Alta,3,2009-09-29,2009-12-16,
tipotablas,F_Baja,3,0000-00-00,0000-00-00,
usuarios,FECHAING,1,2004-12-20,2004-12-20,
usuarios,FECHABAJA,1,0000-00-00,0000-00-00,
