table_name,column_name,referenced_table_name,referenced_column_name,constraint_name
articulos,idGrupo,grupos,idGrupo,articulos_ibfk_2
articulos,ProvPpal,proveedores,idProveedor,articulos_ibfk_3
articulos,TipoIva,tipoiva,CODIGO,articulos_ibfk_4
articulos,Unidad,unimedi,Unidad,articulos_ibfk_1
artprov,idArticulo,articulos,idArticulo,artprov_ibfk_1
artprov,idProveedor,proveedores,idProveedor,artprov_ibfk_2
artprov,idTipoFlete,tipoflete,idTipoFlete,artprov_ibfk_5
artprov,UnCompra,unimedi,Unidad,artprov_ibfk_3
artprov,UnVenta,unimedi,Unidad,artprov_ibfk_4
cabfact,idcliente,clientes,idcliente,FK_Clie
cabfact,idconexion,conexiones,idconexion,FK_Con
clientes,sitiva,tablas,ID_Tabla,FK_SitIVA
clientes,tipdoc,tablas,ID_Tabla,FK_TipDoc
clientes,zona,tablas,ID_Tabla,FK_Zonas
conexiones,zona,tablas,ID_Tabla,FK_Zon
consumo,idconexion,conexiones,idconexion,FK_Conex
ctacte,idFactura,cabfact,IdCabFact,ctacte_ibfk_1
detfact,idconcepto,conceptos,idconcepto,FK_IDCon
movcaja,idTipoComp,tip_comp,Codigo,movcaja_ibfk_1
pcabecera,idTipo,tip_comp,Codigo,pcabecera_ibfk_2
pendfact,idcliente,clientes,idcliente,FK_Clien
pendfact,idconcepto,conceptos,idconcepto,FK_IDConce
pendfact,idconexion,conexiones,idconexion,FK_IDCone
rangom3,idConcepto,conceptos,idconcepto,rangom3_ibfk_1
tablas,ID_TipTab,tipotablas,ID_TipTab,FK_TipTab
titularinmueble,idConexion,conexiones,idconexion,titularinmueble_ibfk_4
titularinmueble,sitfteiva,tablas,ID_Tabla,titularinmueble_ibfk_2
titularinmueble,TipoDocumento,tablas,ID_Tabla,titularinmueble_ibfk_3
titularservicio,idConexion,conexiones,idconexion,titularservicio_ibfk_1
titularservicio,TipoDoc,tablas,ID_Tabla,titularservicio_ibfk_2
