table_name,index_name,non_unique,seq_in_index,column_name,cardinality,index_type
accesos,PRIMARY,0,1,acc_id,4,BTREE
afip,PRIMARY,0,1,id_tabla,4,BTREE
alicuota,PRIMARY,0,1,CODIGO,7,BTREE
articulos,idGrupo,1,1,idGrupo,45,BTREE
articulos,PRIMARY,0,1,idArticulo,8878,BTREE
articulos,ProvPpal,1,1,ProvPpal,20,BTREE
articulos,TipoIva,1,1,TipoIva,3,BTREE
articulos,Unidad,1,1,Unidad,1,BTREE
artprov,idArticulo,1,1,idArticulo,9111,BTREE
artprov,idProveedor,1,1,idProveedor,20,BTREE
artprov,idTipoFlete,1,1,idTipoFlete,1,BTREE
artprov,PRIMARY,0,1,idArtxProv,10397,BTREE
artprov,UnCompra,1,1,UnCompra,1,BTREE
artprov,UnVenta,1,1,UnVenta,1,BTREE
cabfact,FK_Clie,1,1,idcliente,438,BTREE
cabfact,FK_Con,1,1,idconexion,551,BTREE
cabfact,PRIMARY,0,1,IdCabFact,62331,BTREE
clientes,FK_SitIVA,1,1,sitiva,4,BTREE
clientes,FK_TipDoc,1,1,tipdoc,4,BTREE
clientes,FK_Zonas,1,1,zona,2,BTREE
clientes,PRIMARY,0,1,idcliente,476,BTREE
comprobantes,PRIMARY,0,1,codigo,3,BTREE
conceptos,PRIMARY,0,1,idconcepto,19,BTREE
conexiones,FK_Cliente,1,1,idcliente,473,BTREE
conexiones,FK_Zon,1,1,zona,2,BTREE
conexiones,PRIMARY,0,1,idconexion,606,BTREE
consumo,FK_Conex,1,1,idconexion,555,BTREE
consumo,PRIMARY,0,1,idconsumo,61380,BTREE
ctacte,idFactura,1,1,idFactura,25094,BTREE
ctacte,idRecibo,1,1,idRecibo,20037,BTREE
ctacte,PRIMARY,0,1,idCtaCte,25146,BTREE
ctrocosto,PRIMARY,0,1,idCtroCosto,0,BTREE
detfact,FK_IDCon,1,1,idconcepto,9,BTREE
detfact,PRIMARY,0,1,idDetFact,198572,BTREE
formula,PRIMARY,0,1,for_id,44,BTREE
gruform,PRIMARY,0,1,gfo_id,0,BTREE
movcaja,idTipoComp,1,1,idTipoComp,2,BTREE
movcaja,PRIMARY,0,1,idMovCaja,20157,BTREE
paramsist,PRIMARY,0,1,idParamSist,8,BTREE
pcabecera,idTipo,1,1,idTipo,0,BTREE
pcabecera,PRIMARY,0,1,idPCabecera,0,BTREE
pcabecera,proveedor,1,1,proveedor,0,BTREE
pdetalle,FK_Ctro,1,1,idCtroCosto,0,BTREE
pdetalle,FK_Mov,1,1,movil,0,BTREE
pdetalle,FK_Uni,1,1,idUnidadNegocio,0,BTREE
pdetalle,PRIMARY,0,1,idPDetalle,0,BTREE
pendfact,FK_Clien,1,1,idcliente,278,BTREE
pendfact,FK_IDConce,1,1,idconcepto,1,BTREE
pendfact,FK_IDCone,1,1,idconexion,311,BTREE
pendfact,PRIMARY,0,1,idpendfact,7680,BTREE
periodicidad,PRIMARY,0,1,codigo,7,BTREE
provincias,PRIMARY,0,1,codigo,24,BTREE
rangom3,idConcepto,1,1,idConcepto,8,BTREE
rangom3,PRIMARY,0,1,idRangoM3,9,BTREE
sistema,PRIMARY,0,1,sis_id,0,BTREE
tablas,FK_TipTab,1,1,ID_TipTab,3,BTREE
tablas,PRIMARY,0,1,ID_Tabla,14,BTREE
tip_comp,PRIMARY,0,1,Codigo,2,BTREE
tipcompafip,PRIMARY,0,1,idTipCompAfip,0,BTREE
tipoconsumo,PRIMARY,0,1,codigo,2,BTREE
tipofor,PRIMARY,0,1,tfo_id,5,BTREE
tipoiva,PRIMARY,0,1,CODIGO,3,BTREE
tiposervicio,PRIMARY,0,1,CDGO,4,BTREE
tipotablas,PRIMARY,0,1,ID_TipTab,3,BTREE
titularinmueble,idConexion,1,1,idConexion,0,BTREE
titularinmueble,PRIMARY,0,1,idTitularInmueble,0,BTREE
titularinmueble,sitfteiva,1,1,sitfteiva,0,BTREE
titularinmueble,TipoDocumento,1,1,TipoDocumento,0,BTREE
titularservicio,idConexion,1,1,idConexion,0,BTREE
titularservicio,PRIMARY,0,1,idTitularServicio,0,BTREE
titularservicio,TipoDoc,1,1,TipoDoc,0,BTREE
usuarios,PRIMARY,0,1,USU_ID,0,BTREE
