table_name,table_type,engine,approx_rows,mb,create_time,update_time
accesos,BASE TABLE,InnoDB,4,0.02,2026-05-04 08:26:09,
afip,BASE TABLE,InnoDB,4,0.02,2026-05-04 08:26:09,
alicuota,BASE TABLE,InnoDB,7,0.02,2026-05-04 08:26:09,
articulos,BASE TABLE,InnoDB,8878,4.17,2024-10-23 09:45:10,
artprov,BASE TABLE,InnoDB,10397,3.53,2024-10-23 09:45:37,
cabfact,BASE TABLE,InnoDB,62331,10.55,2026-05-04 08:26:09,
clientes,BASE TABLE,InnoDB,476,0.23,2026-05-04 08:26:11,
comprobantes,BASE TABLE,InnoDB,3,0.02,2026-05-04 08:26:12,
conceptos,BASE TABLE,InnoDB,19,0.02,2026-05-04 08:26:12,
conexiones,BASE TABLE,InnoDB,606,0.14,2026-05-04 08:26:12,
consumo,BASE TABLE,InnoDB,61380,5.03,2026-05-04 08:26:12,
ctacte,BASE TABLE,InnoDB,25146,4.39,2026-05-04 08:26:14,
ctrocosto,BASE TABLE,InnoDB,0,0.02,2026-05-04 08:26:14,
detfact,BASE TABLE,InnoDB,198572,18.03,2026-05-04 08:26:15,
formula,BASE TABLE,InnoDB,44,0.02,2026-05-04 08:26:19,
gruform,BASE TABLE,InnoDB,0,0.02,2026-05-04 08:26:19,
movcaja,BASE TABLE,InnoDB,20157,3.83,2026-05-04 08:26:19,
paramfac,BASE TABLE,InnoDB,0,0.02,2026-05-04 08:26:20,
paramsist,BASE TABLE,InnoDB,8,0.02,2026-05-04 08:26:20,
pcabecera,BASE TABLE,InnoDB,0,0.05,2026-05-04 08:26:20,
pdetalle,BASE TABLE,InnoDB,0,0.06,2026-05-04 08:26:20,
pendfact,BASE TABLE,InnoDB,7680,1.95,2026-05-04 08:26:20,
periodicidad,BASE TABLE,InnoDB,7,0.02,2026-05-04 08:26:20,
provincias,BASE TABLE,InnoDB,24,0.02,2026-05-04 08:26:20,
rangom3,BASE TABLE,InnoDB,9,0.03,2026-05-04 08:26:20,
sistema,BASE TABLE,InnoDB,0,0.02,2026-05-04 08:26:20,
tablas,BASE TABLE,InnoDB,14,0.03,2026-05-04 08:26:20,
tip_comp,BASE TABLE,InnoDB,2,0.02,2026-05-04 08:26:20,
tipcompafip,BASE TABLE,InnoDB,0,0.02,2026-05-04 08:26:20,
tipoconsumo,BASE TABLE,InnoDB,2,0.02,2026-05-04 08:26:20,
tipofor,BASE TABLE,InnoDB,5,0.02,2026-05-04 08:26:20,
tipoiva,BASE TABLE,InnoDB,3,0.02,2026-05-04 08:26:20,
tiposervicio,BASE TABLE,InnoDB,4,0.02,2026-05-04 08:26:21,
tipotablas,BASE TABLE,InnoDB,3,0.02,2026-05-04 08:26:21,
titularinmueble,BASE TABLE,InnoDB,0,0.06,2026-05-04 08:26:21,
titularservicio,BASE TABLE,InnoDB,0,0.05,2026-05-04 08:26:21,
userlev,BASE TABLE,InnoDB,5,0.02,2026-05-04 08:26:21,
usuarios,BASE TABLE,InnoDB,0,0.02,2026-05-04 08:26:21,
factimp,VIEW,,0,0.00,2026-05-04 08:26:21,
facturas,VIEW,,0,0.00,2026-05-04 08:26:21,
tipdoc,VIEW,,0,0.00,2026-05-04 08:26:21,
zonas,VIEW,,0,0.00,2026-05-04 08:26:21,
